;TRADEDATE;SECID;OPEN;LOW;HIGH;CLOSE;VOLRUR;is_actual;last_CLOSE;short;long;diff;Stance;OBV;STHST_k;STHST_d;BBU;BBM;BBL;diff_st;Stance_st;Recommendation
80;2020-09-25;EURUSD000TOM;1.16734;1.1613;1.16834;1.16296;2359924595.31;1 day lag;;1.166014949519158;1.1728340440687495;-0.006819094549591398;-1;29013565277.189987;10.490696433648587;8.076561121236674;1.196301161781679;1.1804934999999996;1.1646858382183203;2.414135312411913;1;Покупать (Long)
81;2020-09-28;EURUSD000TOM;1.1626100000000001;1.1624;1.16802;1.16644;1610525001.86;1 day lag;;1.1662274747595789;1.1715552352549996;-0.005327760495420719;-1;30624090279.049988;11.243386243386055;10.105312125790826;1.194881727990033;1.1791374999999997;1.1633932720099665;1.1380741175952291;1;Покупать (Long)
82;2020-09-29;EURUSD000TOM;1.1678600000000001;1.1667;1.17442;1.1743;3381030039.13;1 day lag;;1.1702637373797895;1.1721041882039998;-0.001840450824210249;0;34005120318.17999;29.99338624338587;17.242489640140192;1.1931047000527406;1.1782834999999996;1.1634622999472586;12.750896603245678;1;Покупать (Long)
83;2020-09-30;EURUSD000TOM;1.17354;1.16854;1.175;1.1726;2850271970.45;1 day lag;;1.1714318686898948;1.1722033505632;-0.0007714818733051132;0;31154848347.72999;41.18112014453473;27.472630877102244;1.1922970035753524;1.1776474999999995;1.1629979964246466;13.708489267432487;1;Покупать (Long)
84;2020-10-01;EURUSD000TOM;1.17476;1.1722;1.17686;1.17456;2356195345.41;1 day lag;;1.1729959343449474;1.1726746804505601;0.0003212538943873078;0;33511043693.139988;42.78745644599331;37.98732094463799;1.1914007196497571;1.1771164999999997;1.1628322803502422;4.800135501355314;1;Покупать (Long)
85;2020-10-02;EURUSD000TOM;1.17364;1.17;1.17408;1.1714;1967602937.28;1 day lag;;1.1721979671724738;1.172419744360448;-0.00022177718797422585;0;31543440755.85999;40.69686411149837;41.555146900675496;1.1906934919253522;1.1765134999999995;1.1623335080746469;-0.8582827891771245;0;Ожидать (Hold)
86;2020-10-05;EURUSD000TOM;1.17238;1.17214;1.1794;1.17856;1152128841.94;1 day lag;;1.175378983586237;1.1736477954883586;0.0017311880978783112;0;32695569597.799988;49.91791619360832;44.46741225036669;1.1904090771058202;1.1763714999999997;1.1623339228941791;5.450503943241628;1;Покупать (Long)
87;2020-10-06;EURUSD000TOM;1.17821;1.17318;1.18056;1.17318;1515920189.17;1 day lag;;1.1742794917931185;1.173554236390687;0.0007252554024315128;0;31179649408.62999;55.57062966790529;48.72846999100401;1.1902428205684776;1.1761504999999994;1.1620581794315212;6.842159676901275;1;Покупать (Long)
88;2020-10-07;EURUSD000TOM;1.17524;1.175;1.178;1.1764;1275473969.2;1 day lag;;1.1753397458965593;1.1741233891125495;0.0012163567840097755;0;32455123377.82999;52.79843444226968;52.76232676792779;1.1899201045058216;1.1759554999999995;1.1619908954941773;0.03610767434189199;0;Ожидать (Hold)
89;2020-10-08;EURUSD000TOM;1.17736;1.1735;1.17736;1.17582;1231651962.12;1 day lag;;1.1755798729482798;1.1744627112900399;0.0011171616582399402;0;31223471415.70999;58.24555432655478;55.5382061455766;1.1893835531380512;1.1756644999999994;1.1619454468619477;2.7073481809781796;1;Покупать (Long)
90;2020-10-09;EURUSD000TOM;1.17769;1.17705;1.1829399999999999;1.18275;4434709348.29;1 day lag;;1.17916493647414;1.176120169032032;0.0030447674421079096;0;35658180763.99999;78.25665032548443;63.10021303143632;1.1890903061833569;1.1755769999999994;1.162063693816642;15.15643729404811;1;Покупать (Long)
